n,a1,a2,a3,b1,b2,b3,c1,c2,v1,v2,p1,p2,t1,t2,l1,l2,h1,h2,o,time
0,0.315924300,84,84.000,0.315917700,9600,9600.000,0.315803100,1900.00000000,2390835.65070773,25628104.94300496,0.316604483,0.322242717,653,4859,0.313873200,0.313873200,0.320937300,0.329900000,0.320167700,2021-06-16 04:16:59.704080
1,0.316240600,4700,4700.000,0.316189500,9600,9600.000,0.315924300,0.00008692,2390919.26599465,25621251.37757976,0.316604459,0.322241450,655,4858,0.313873200,0.313873200,0.320937300,0.329900000,0.320167700,2021-06-16 04:18:00.092986
2,0.316326200,16637,16637.000,0.316177900,9600,9600.000,0.315924300,0.00008692,2390919.26599465,25621251.37757976,0.316604459,0.322241450,655,4858,0.313873200,0.313873200,0.320937300,0.329900000,0.320167700,2021-06-16 04:19:00.222060
3,0.316132800,9600,9600.000,0.316047400,37954,37954.000,0.315924300,0.00008692,2390919.26599465,25621251.37757976,0.316604459,0.322241450,655,4858,0.313873200,0.313873200,0.320937300,0.329900000,0.320167700,2021-06-16 04:20:00.369207
4,0.316382100,35398,35398.000,0.316212500,9600,9600.000,0.316043200,100.00000000,2393503.69599465,25611901.51715502,0.316603848,0.322238794,658,4859,0.313873200,0.313873200,0.320937300,0.329900000,0.320167700,2021-06-16 04:21:00.525477
5,0.316563100,17200,17200.000,0.316563000,9600,9600.000,0.316638300,4700.00000000,2403344.81579465,25621742.63695502,0.316603864,0.322236631,668,4869,0.313873200,0.313873200,0.320937300,0.329900000,0.320167700,2021-06-16 04:22:00.658094
6,0.316438400,4700,4700.000,0.316294500,9600,9600.000,0.316638300,4700.00000000,2403344.81579465,25621742.63695502,0.316603864,0.322236631,668,4869,0.313873200,0.313873200,0.320937300,0.329900000,0.320167700,2021-06-16 04:23:00.783568
7,0.315815300,9600,9600.000,0.315592300,16661,16661.000,0.316638300,4700.00000000,2403344.81579465,25621742.63695502,0.316603864,0.322236631,668,4869,0.313873200,0.313873200,0.320937300,0.329900000,0.320167700,2021-06-16 04:24:00.908525
8,0.315589600,9600,9600.000,0.315464600,11091,11091.000,0.315576300,482.31000000,2429733.94642555,25647629.70641051,0.316593012,0.322229722,672,4872,0.313873200,0.313873200,0.320937300,0.329900000,0.320167700,2021-06-16 04:25:01.045686
9,0.315960700,4700,4700.000,0.315723200,4700,4700.000,0.315555400,0.00000180,2446971.05852555,25657032.60471094,0.316587374,0.322224030,679,4873,0.313873200,0.313873200,0.320937300,0.329900000,0.320167700,2021-06-16 04:26:01.210708
10,0.315915900,9600,9600.000,0.315727500,9600,9600.000,0.316034000,2436.94830000,2466490.48231960,25639027.01377313,0.316582958,0.322212564,687,4877,0.313873200,0.313873200,0.320937300,0.329900000,0.320167700,2021-06-16 04:27:01.345857
11,0.316540800,4700,4700.000,0.316418700,26206,26206.000,0.316418700,10.97000000,2466501.45231960,25603213.55438456,0.316582957,0.322206092,688,4873,0.313873200,0.313873200,0.320937300,0.329900000,0.320167700,2021-06-16 04:28:01.749636
